date time,[Input]Dam/water_level,[SP]Control Group 1/PID Rule,[Output]Woodruff_Dam_simple/CrestLevel,[IP]Control Group 1/PID Rule,[DP]Control Group 1/PID Rule,[PID]Control Group 1/PID Rule_isActive
2023-08-10 06:05:00,23.4731649748,23.2403904,24.0215896388,,,1
2023-08-10 06:10:00,23.4752736836,23.2403904,24.0053548207,,,1
2023-08-10 06:15:00,23.4775871042,23.2403904,23.9895748572,,,1
2023-08-10 06:20:00,23.4806838858,23.2403904,23.9734923182,,,1
2023-08-10 06:25:00,23.4843527699,23.2403904,23.9565972834,,,1
2023-08-10 06:30:00,23.4877332916,23.2403904,23.9390244335,,,1
2023-08-10 06:35:00,23.4899293571,23.2403904,23.9214794428,,,1
2023-08-10 06:40:00,23.4906663319,23.2403904,23.9047502538,,,1
2023-08-10 06:45:00,23.4907569377,23.2403904,23.889144119,,,1
2023-08-10 06:50:00,23.4907926929,23.2414064,23.8749234033,,,1
2023-08-10 06:55:00,23.491068442,23.2424224,23.8608053815,,,1
2023-08-10 07:00:00,23.4916990259,23.2434384,23.8465397796,,,1
2023-08-10 07:05:00,23.4922403445,23.2434384,23.831139674,,,1
2023-08-10 07:10:00,23.4921824627,23.2434384,23.8157785025,,,1
2023-08-10 07:15:00,23.4919302501,23.2434384,23.8009001646,,,1
2023-08-10 07:20:00,23.4919757017,23.2434384,23.7861924237,,,1
2023-08-10 07:25:00,23.4921877667,23.2434384,23.7712438242,,,1
2023-08-10 07:30:00,23.492310181,23.2434384,23.7561492101,,,1
2023-08-10 07:35:00,23.4921190779,23.2424224,23.7402452112,,,1
2023-08-10 07:40:00,23.4914972249,23.2414064,23.7245425331,,,1
2023-08-10 07:45:00,23.4906521174,23.2403904,23.7091608064,,,1
2023-08-10 07:50:00,23.490202309,23.2403904,23.6948211902,,,1
2023-08-10 07:55:00,23.4903078047,23.2403904,23.6801923221,,,1
2023-08-10 08:00:00,23.4909082432,23.2403904,23.6651128808,,,1
2023-08-10 08:05:00,23.4918613631,23.2403904,23.6496014591,,,1
2023-08-10 08:10:00,23.4930207164,23.2403904,23.6337507052,,,1
2023-08-10 08:15:00,23.4941348121,23.2403904,23.6176654034,,,1
2023-08-10 08:20:00,23.4949114548,23.2403904,23.6015494621,,,1
2023-08-10 08:25:00,23.4954913618,23.2403904,23.5856568849,,,1
2023-08-10 08:30:00,23.4960096213,23.2403904,23.5698869017,,,1
2023-08-10 08:35:00,23.496746509,23.2393744,23.5532613803,,,1
2023-08-10 08:40:00,23.497847534,23.2383584,23.5363557834,,,1
2023-08-10 08:45:00,23.49900831,23.2373424,23.5190318551,,,1
2023-08-10 08:50:00,23.4999584075,23.2373424,23.5024032804,,,1
2023-08-10 08:55:00,23.5006863624,23.2373424,23.485886242,,,1
2023-08-10 09:00:00,23.5016433875,23.2373424,23.4695032405,,,1
2023-08-10 09:05:00,23.5029908906,23.2373424,23.452879561,,,1
2023-08-10 09:10:00,23.5042637789,23.2373424,23.4358626488,,,1
2023-08-10 09:15:00,23.5052862812,23.2373424,23.4188290556,,,1
2023-08-10 09:20:00,23.5062213954,23.2363264,23.4010606603,,,1
2023-08-10 09:25:00,23.5074757179,23.2353104,23.3832451093,,,1
2023-08-10 09:30:00,23.5089629134,23.2342944,23.365037972,,,1
2023-08-10 09:35:00,23.5102048116,23.2332784,23.3464943446,,,1
2023-08-10 09:40:00,23.5110901403,23.2322624,23.3280114816,,,1
2023-08-10 09:45:00,23.5118107351,23.2312464,23.3096997944,,,1
2023-08-10 09:50:00,23.5126850686,23.2312464,23.2922894593,,,1
2023-08-10 09:55:00,23.5135434844,23.2312464,23.2747036723,,,1
2023-08-10 10:00:00,23.5141015709,23.2312464,23.2570791146,,,1
2023-08-10 10:05:00,23.514195985,23.2312464,23.2396613353,,,1
